review_id,Asin,Brand,Nation,Rating,Content
98,B001ANVDMA,posca,US,5,黒い紙にも書けるので好きです。<br>学生時代も社会人になってからも愛用しています。
99,B001ANVDMA,posca,US,4,"Best paint markers around IMO. I use them for every thing; paper, walls, bathroom stalls. my only complaint is that they took like 2 months to get here."
100,B001ANVDMA,posca,US,4,Even flow. Tip doesn't dry out after several uses.
101,B001ANVDMA,posca,US,5,"These markers are awesome for those who don't like to paint with regular and messy brushes. Acrylic paint in a marker! I consider myself a little rushy, so I like to have control over my fast movements and not care if the brush is thick or thin depending on one's strenght. REALLY COOL PAINTING TOOLS."
102,B001ANVDMA,posca,US,5,"The one star rating I gave this earlier was submitted before I realized I had to click the stars before I filled out the rest.  I used these for my grandchildren to paint Christmas ornaments and they loved them, all but one that wanted to use a paint brush."
103,B001ANVDMA,posca,US,5,Very nice product. Artist quality
104,B001ANVDMA,posca,US,3,"I give to my wife so she could draw in those books for painting but the first time you'll use it take care because if you press to much it will blur your page with ink.If you will draw in a paper that has image in both sides, take care because the color will appear in the other side. Not much but it appear. This is the main complain of my wife."
106,B001ANVDMA,posca,US,5,These are fantastic!
107,B001ANVDMA,posca,US,5,"Bonne qualité,couleurs sympa.mon Homme est ravie,le rendu est sympa."
109,B001ANVDMA,posca,US,5,Pintan fenomenal y se secan al instante. He pintado fundas de móvil y me han quedado perfectas. Tofo un acierto.
110,B001ANVDMA,posca,US,5,肌色、灰色も入っていて使い勝手が良いです。細字なので、細かいところもはみ出さずに塗ることができます。
111,B001ANVDMA,posca,US,5,Easy to use and fun!
112,B001ANVDMA,posca,US,5,These pens are amazing. It is a great product.
113,B001ANVDMA,posca,US,5,Using these pens with my grandkids.
114,B001ANVDMA,posca,US,2,These are more like markers. I would rate these Higher but the black does not work.
116,B001ANVDMA,posca,US,2,Some pens were dried up
119,B001ANVDMA,posca,US,5,"My daughter loves the markers. Since they're acrylic they don't have a smell, very easy to use and soft."
120,B001ANVDMA,posca,US,5,Produits au top / vendeur au top<br>Ma commande à mis 15 jours de mémoire pour venir du Japon.<br>N'hésitez pas les Posca ont exactement la même qualité qu'en France sauf que le prix (FDP compris) est divisé par 2!!!
121,B001ANVDMA,posca,US,5,"fidele à sa renommée, ces posca sont vraiment bien, tres contente de cet achat, livraison 3 semaines, mais ca valait le coup d attendre."
122,B001ANVDMA,posca,US,5,"These markers are the only paint markers my high production art teenager will use. They are a bit pricey to me, but I know they are worth the money for what they do. Color and vibrancy is excellent."
124,B001ANVDMA,posca,US,5,they are wonderful for outlining paintings or writing words on art i love them
126,B001ANVDMA,posca,US,5,I really enjoy the paint pens. I would use them if the prices were lower. Hoping the price will come down in the near future.
127,B001ANVDMA,posca,US,5,"They work great. Good color ,easy to use and doesn't dry out. Would buy again"
